l_code,l_name,year,day,rm
401,稚内,1953,521,6
401,稚内,1954,517,6
401,稚内,1955,517,6
401,稚内,1956,512,6
401,稚内,1957,518,6
401,稚内,1958,523,6
401,稚内,1959,503,6
401,稚内,1960,519,6
401,稚内,1961,511,6
401,稚内,1962,510,6
401,稚内,1963,512,6
401,稚内,1964,516,6
401,稚内,1965,518,6
401,稚内,1966,-,-
401,稚内,1967,-,-
401,稚内,1968,-,-
401,稚内,1969,-,-
401,稚内,1970,-,-
401,稚内,1971,-,-
401,稚内,1972,-,-
401,稚内,1973,520,6
401,稚内,1974,519,6
401,稚内,1975,519,6
406,留萌,1953,508,6
406,留萌,1954,511,6
406,留萌,1955,513,6
406,留萌,1956,508,6
406,留萌,1957,510,6
406,留萌,1958,512,6
406,留萌,1959,-,-
406,留萌,1960,-,-
406,留萌,1961,507,6
406,留萌,1962,509,6
406,留萌,1963,513,6
406,留萌,1964,508,6
406,留萌,1965,518,6
406,留萌,1966,516,6
406,留萌,1967,511,6
406,留萌,1968,508,6
406,留萌,1969,516,6
406,留萌,1970,509,6
406,留萌,1971,517,6
406,留萌,1972,-,-
406,留萌,1973,512,6
406,留萌,1974,515,6
406,留萌,1975,508,6
407,旭川,1953,511,6
407,旭川,1954,513,6
407,旭川,1955,509,6
407,旭川,1956,507,6
407,旭川,1957,509,6
407,旭川,1958,510,6
407,旭川,1959,508,6
407,旭川,1960,513,6
407,旭川,1961,508,6
407,旭川,1962,508,6
407,旭川,1963,510,6
407,旭川,1964,512,6
407,旭川,1965,515,6
407,旭川,1966,514,6
407,旭川,1967,505,6
407,旭川,1968,502,6
407,旭川,1969,506,6
407,旭川,1970,507,6
407,旭川,1971,512,6
407,旭川,1972,430,6
407,旭川,1973,509,6
407,旭川,1974,513,6
407,旭川,1975,508,6
409,網走,1953,524,6
409,網走,1954,516,6
409,網走,1955,518,6
409,網走,1956,509,6
409,網走,1957,-,-
409,網走,1958,-,-
409,網走,1959,503,6
409,網走,1960,-,-
409,網走,1961,508,6
409,網走,1962,-,-
409,網走,1963,513,6
409,網走,1964,-,-
409,網走,1965,517,6
409,網走,1966,518,6
409,網走,1967,510,6
409,網走,1968,506,6
409,網走,1969,509,6
409,網走,1970,508,6
409,網走,1971,516,6
409,網走,1972,503,6
409,網走,1973,509,6
409,網走,1974,516,6
409,網走,1975,514,6
412,札幌,1953,507,8
412,札幌,1954,504,8
412,札幌,1955,511,8
412,札幌,1956,504,8
412,札幌,1957,509,8
412,札幌,1958,-,-
412,札幌,1959,505,8
412,札幌,1960,505,8
412,札幌,1961,504,8
412,札幌,1962,430,8
412,札幌,1963,502,8
412,札幌,1964,504,8
412,札幌,1965,513,8
412,札幌,1966,503,8
412,札幌,1967,501,8
412,札幌,1968,426,8
412,札幌,1969,505,8
412,札幌,1970,503,8
412,札幌,1971,509,8
412,札幌,1972,429,8
412,札幌,1973,505,8
412,札幌,1974,511,8
412,札幌,1975,504,8
413,岩見沢,1953,509,8
413,岩見沢,1954,506,8
413,岩見沢,1955,510,8
413,岩見沢,1956,505,8
413,岩見沢,1957,508,8
413,岩見沢,1958,510,8
413,岩見沢,1959,428,8
413,岩見沢,1960,511,8
413,岩見沢,1961,504,8
413,岩見沢,1962,503,8
413,岩見沢,1963,508,8
413,岩見沢,1964,507,8
413,岩見沢,1965,516,8
413,岩見沢,1966,512,8
413,岩見沢,1967,505,8
413,岩見沢,1968,503,8
413,岩見沢,1969,510,8
413,岩見沢,1970,509,8
413,岩見沢,1971,514,8
413,岩見沢,1972,504,8
413,岩見沢,1973,507,8
413,岩見沢,1974,511,8
413,岩見沢,1975,508,8
417,帯広,1953,515,6
417,帯広,1954,507,6
417,帯広,1955,510,6
417,帯広,1956,505,6
417,帯広,1957,509,6
417,帯広,1958,513,6
417,帯広,1959,501,6
417,帯広,1960,511,6
417,帯広,1961,505,6
417,帯広,1962,504,6
417,帯広,1963,507,6
417,帯広,1964,508,6
417,帯広,1965,515,6
417,帯広,1966,513,6
417,帯広,1967,503,6
417,帯広,1968,502,6
417,帯広,1969,507,6
417,帯広,1970,510,6
417,帯広,1971,513,6
417,帯広,1972,503,6
417,帯広,1973,506,6
417,帯広,1974,510,6
417,帯広,1975,512,6
418,釧路,1953,-,-
418,釧路,1954,-,-
418,釧路,1955,-,-
418,釧路,1956,-,-
418,釧路,1957,-,-
418,釧路,1958,-,-
418,釧路,1959,-,-
418,釧路,1960,-,-
418,釧路,1961,-,-
418,釧路,1962,-,-
418,釧路,1963,-,-
418,釧路,1964,-,-
418,釧路,1965,-,-
418,釧路,1966,-,-
418,釧路,1967,-,-
418,釧路,1968,-,-
418,釧路,1969,-,-
418,釧路,1970,-,-
418,釧路,1971,-,-
418,釧路,1972,507,6
418,釧路,1973,512,6
418,釧路,1974,518,6
418,釧路,1975,522,6
420,根室,1953,-,-
420,根室,1954,-,-
420,根室,1955,-,-
420,根室,1956,-,-
420,根室,1957,-,-
420,根室,1958,-,-
420,根室,1959,-,-
420,根室,1960,525,6
420,根室,1961,518,6
420,根室,1962,515,6
420,根室,1963,518,6
420,根室,1964,522,6
420,根室,1965,521,6
420,根室,1966,520,6
420,根室,1967,514,6
420,根室,1968,522,6
420,根室,1969,517,6
420,根室,1970,520,6
420,根室,1971,526,6
420,根室,1972,512,6
420,根室,1973,514,6
420,根室,1974,517,6
420,根室,1975,526,6
423,室蘭,1953,510,8
423,室蘭,1954,507,8
423,室蘭,1955,518,8
423,室蘭,1956,508,8
423,室蘭,1957,508,8
423,室蘭,1958,512,8
423,室蘭,1959,427,8
423,室蘭,1960,508,8
423,室蘭,1961,505,8
423,室蘭,1962,508,8
423,室蘭,1963,506,8
423,室蘭,1964,507,8
423,室蘭,1965,516,8
423,室蘭,1966,516,8
423,室蘭,1967,504,8
423,室蘭,1968,505,8
423,室蘭,1969,507,8
423,室蘭,1970,514,8
423,室蘭,1971,512,8
423,室蘭,1972,504,8
423,室蘭,1973,508,8
423,室蘭,1974,511,8
423,室蘭,1975,508,8
426,浦河,1953,509,6
426,浦河,1954,507,6
426,浦河,1955,511,6
426,浦河,1956,507,6
426,浦河,1957,514,6
426,浦河,1958,512,6
426,浦河,1959,502,6
426,浦河,1960,513,6
426,浦河,1961,504,6
426,浦河,1962,503,6
426,浦河,1963,510,6
426,浦河,1964,511,6
426,浦河,1965,518,6
426,浦河,1966,511,6
426,浦河,1967,506,6
426,浦河,1968,510,6
426,浦河,1969,509,6
426,浦河,1970,512,6
426,浦河,1971,514,6
426,浦河,1972,503,6
426,浦河,1973,511,6
426,浦河,1974,512,6
426,浦河,1975,508,6
428,江差,1953,508,8
428,江差,1954,501,8
428,江差,1955,503,8
428,江差,1956,503,8
428,江差,1957,504,8
428,江差,1958,505,8
428,江差,1959,427,8
428,江差,1960,502,8
428,江差,1961,428,8
428,江差,1962,429,8
428,江差,1963,427,8
428,江差,1964,505,8
428,江差,1965,513,8
428,江差,1966,504,8
428,江差,1967,501,8
428,江差,1968,427,8
428,江差,1969,505,8
428,江差,1970,507,8
428,江差,1971,510,8
428,江差,1972,429,8
428,江差,1973,501,8
428,江差,1974,510,8
428,江差,1975,430,8
430,函館,1953,502,8
430,函館,1954,503,8
430,函館,1955,508,8
430,函館,1956,503,8
430,函館,1957,508,8
430,函館,1958,504,8
430,函館,1959,426,8
430,函館,1960,504,8
430,函館,1961,430,8
430,函館,1962,503,8
430,函館,1963,503,8
430,函館,1964,505,8
430,函館,1965,514,8
430,函館,1966,507,8
430,函館,1967,503,8
430,函館,1968,502,8
430,函館,1969,505,8
430,函館,1970,506,8
430,函館,1971,511,8
430,函館,1972,429,8
430,函館,1973,502,8
430,函館,1974,509,8
430,函館,1975,501,8
433,倶知安,1953,512,6
433,倶知安,1954,511,6
433,倶知安,1955,519,6
433,倶知安,1956,513,6
433,倶知安,1957,515,6
433,倶知安,1958,516,6
433,倶知安,1959,502,6
433,倶知安,1960,517,6
433,倶知安,1961,509,6
433,倶知安,1962,508,6
433,倶知安,1963,507,6
433,倶知安,1964,509,6
433,倶知安,1965,520,6
433,倶知安,1966,517,6
433,倶知安,1967,509,6
433,倶知安,1968,510,6
433,倶知安,1969,510,6
433,倶知安,1970,517,6
433,倶知安,1971,-,-
433,倶知安,1972,507,6
433,倶知安,1973,511,6
433,倶知安,1974,514,6
433,倶知安,1975,510,6
435,紋別,1953,-,-
435,紋別,1954,-,-
435,紋別,1955,-,-
435,紋別,1956,505,6
435,紋別,1957,511,6
435,紋別,1958,519,6
435,紋別,1959,501,6
435,紋別,1960,515,6
435,紋別,1961,506,6
435,紋別,1962,509,6
435,紋別,1963,509,6
435,紋別,1964,513,6
435,紋別,1965,518,6
435,紋別,1966,519,6
435,紋別,1967,506,6
435,紋別,1968,507,6
435,紋別,1969,506,6
435,紋別,1970,509,6
435,紋別,1971,516,6
435,紋別,1972,505,6
435,紋別,1973,511,6
435,紋別,1974,514,6
435,紋別,1975,522,6
440,広尾,1953,-,-
440,広尾,1954,-,-
440,広尾,1955,-,-
440,広尾,1956,-,-
440,広尾,1957,-,-
440,広尾,1958,509,6
440,広尾,1959,429,6
440,広尾,1960,509,6
440,広尾,1961,502,6
440,広尾,1962,505,6
440,広尾,1963,506,6
440,広尾,1964,511,6
440,広尾,1965,517,6
440,広尾,1966,515,6
440,広尾,1967,502,6
440,広尾,1968,502,6
440,広尾,1969,505,6
440,広尾,1970,512,6
440,広尾,1971,512,6
440,広尾,1972,505,6
440,広尾,1973,505,6
440,広尾,1974,512,6
440,広尾,1975,513,6
520,新庄,1953,-,-
520,新庄,1954,-,-
520,新庄,1955,-,-
520,新庄,1956,-,-
520,新庄,1957,-,-
520,新庄,1958,423,8
520,新庄,1959,415,8
520,新庄,1960,423,8
520,新庄,1961,422,8
520,新庄,1962,423,8
520,新庄,1963,420,8
520,新庄,1964,417,8
520,新庄,1965,506,8
520,新庄,1966,422,8
520,新庄,1967,423,8
520,新庄,1968,421,8
520,新庄,1969,422,8
520,新庄,1970,429,8
520,新庄,1971,423,8
520,新庄,1972,413,8
520,新庄,1973,420,8
520,新庄,1974,428,8
520,新庄,1975,422,8
575,青森,1953,-,-
575,青森,1954,-,-
575,青森,1955,-,-
575,青森,1956,426,8
575,青森,1957,501,8
575,青森,1958,429,8
575,青森,1959,419,8
575,青森,1960,427,8
575,青森,1961,424,8
575,青森,1962,425,8
575,青森,1963,421,8
575,青森,1964,429,8
575,青森,1965,503,8
575,青森,1966,428,8
575,青森,1967,427,8
575,青森,1968,424,8
575,青森,1969,429,8
575,青森,1970,504,8
575,青森,1971,428,8
575,青森,1972,424,8
575,青森,1973,422,8
575,青森,1974,501,8
575,青森,1975,426,8
581,八戸,1953,426,8
581,八戸,1954,424,8
581,八戸,1955,423,8
581,八戸,1956,424,8
581,八戸,1957,427,8
581,八戸,1958,424,8
581,八戸,1959,421,8
581,八戸,1960,427,8
581,八戸,1961,422,8
581,八戸,1962,423,8
581,八戸,1963,420,8
581,八戸,1964,427,8
581,八戸,1965,506,8
581,八戸,1966,426,8
581,八戸,1967,426,8
581,八戸,1968,422,8
581,八戸,1969,426,8
581,八戸,1970,430,8
581,八戸,1971,422,8
581,八戸,1972,424,8
581,八戸,1973,420,8
581,八戸,1974,429,8
581,八戸,1975,425,8
582,秋田,1953,422,8
582,秋田,1954,417,8
582,秋田,1955,416,8
582,秋田,1956,421,8
582,秋田,1957,424,8
582,秋田,1958,422,8
582,秋田,1959,409,8
582,秋田,1960,421,8
582,秋田,1961,419,8
582,秋田,1962,420,8
582,秋田,1963,417,8
582,秋田,1964,418,8
582,秋田,1965,430,8
582,秋田,1966,421,8
582,秋田,1967,422,8
582,秋田,1968,417,8
582,秋田,1969,425,8
582,秋田,1970,427,8
582,秋田,1971,422,8
582,秋田,1972,417,8
582,秋田,1973,419,8
582,秋田,1974,426,8
582,秋田,1975,421,8
584,盛岡,1953,427,8
584,盛岡,1954,419,8
584,盛岡,1955,418,8
584,盛岡,1956,424,8
584,盛岡,1957,427,8
584,盛岡,1958,424,8
584,盛岡,1959,418,8
584,盛岡,1960,427,8
584,盛岡,1961,422,8
