Currently Being Observed,First Bloom Date,Site Name,Year,Latitude,Longitude,Month First Bloom
True,5/21/1953,"Wakkanai, Japan",1/1/1953,45.4158108,141.6730309,May
False,5/8/1953,"Rumoi, Japan",1/1/1953,43.941029,141.6368171,May
True,5/11/1953,"Asahikawa, Japan",1/1/1953,43.7627501,142.3579263,May
True,5/24/1953,"Abashiri, Japan",1/1/1953,44.0206027,144.2732035,May
True,5/7/1953,"Sapporo, Japan",1/1/1953,43.061936,141.3542924,May
False,5/9/1953,"Iwamizawa, Japan",1/1/1953,43.1959915,141.7761132,May
True,5/15/1953,"Obihiro, Japan",1/1/1953,42.923809,143.1966324,May
True,,"Kushiro, Japan",1/1/1953,42.9906837,144.3820381,
False,,"Nemuro, Japan",1/1/1953,43.3301154,145.5829068,
True,5/10/1953,"Muroran, Japan",1/1/1953,42.3152461,140.9740731,May
False,5/9/1953,"Urakawa, Japan",1/1/1953,42.1684998,142.7680974,May
False,5/8/1953,"Esashi, Japan",1/1/1953,41.8690714,140.1272235,May
True,5/2/1953,"Hakodate, Japan",1/1/1953,41.768793,140.729008,May
False,5/12/1953,"Kutchan, Japan",1/1/1953,42.901741,140.7590818,May
False,,"Monbetsu, Japan",1/1/1953,44.3565151,143.3545224,
False,,"Hiroo, Japan",1/1/1953,42.285532,143.3116162,
False,,"Shinjo, Japan",1/1/1953,38.7648577,140.3021449,
True,,"Aomori, Japan",1/1/1953,40.886943,140.590121,
False,4/26/1953,"Hachinohe, Japan",1/1/1953,40.5122388,141.4882959,April
True,4/22/1953,"Akita, Japan",1/1/1953,39.6898802,140.342608,April
True,4/27/1953,"Morioka, Japan",1/1/1953,39.7021331,141.1545397,April
False,4/22/1953,"Miyako, Japan",1/1/1953,39.6395835,141.9461177,April
False,4/15/1953,"Sakata, Japan",1/1/1953,38.9147229,139.8364101,April
True,4/19/1953,"Yamagata, Japan",1/1/1953,38.2553393,140.3400205,April
True,4/11/1953,"Sendai, Japan",1/1/1953,38.2677554,140.8691498,April
True,4/9/1953,"Fukushima, Japan",1/1/1953,37.75454,140.4592144,April
False,4/16/1953,"Shirakawa, Japan",1/1/1953,37.1263397,140.2107192,April
False,4/6/1953,"Onahama, Japan",1/1/1953,36.9383759,140.8977807,April
False,4/8/1953,"Wajima, Japan",1/1/1953,37.3905644,136.8994281,April
False,4/11/1953,"Aikawa, Japan",1/1/1953,35.532347,139.297795,April
True,4/13/1953,"Niigata, Japan",1/1/1953,37.6452283,138.7669125,April
True,4/2/1953,"Kanazawa, Japan",1/1/1953,36.5780499,136.6480247,April
True,4/8/1953,"Toyama, Japan",1/1/1953,36.6957569,137.2136215,April
True,4/17/1953,"Nagano, Japan",1/1/1953,36.1143945,138.0319015,April
False,4/10/1953,"Takada, Japan",1/1/1953,34.516288,135.7448226,April
True,4/6/1953,"Utsunomiya, Japan",1/1/1953,36.5549677,139.8828776,April
True,4/7/1953,"Fukui, Japan",1/1/1953,35.9263502,136.6068127,April
False,4/21/1953,"Takayama, Japan",1/1/1953,36.1396246,137.2510322,April
False,4/11/1953,"Matsumoto, Japan",1/1/1953,36.2382047,137.9687141,April
True,4/3/1953,"Maebashi, Japan",1/1/1953,36.3893418,139.0632826,April
True,4/1/1953,"Kumagaya, Japan",1/1/1953,36.1472472,139.3886141,April
True,4/4/1953,"Mito, Japan",1/1/1953,36.3657792,140.4713933,April
False,4/3/1953,"Tsuruga, Japan",1/1/1953,35.6445135,136.0734634,April
True,4/3/1953,"Gifu, Japan",1/1/1953,35.7867449,137.0460777,April
True,4/3/1953,"Nagoya, Japan",1/1/1953,35.1851045,136.8998438,April
False,4/7/1953,"Iida, Japan",1/1/1953,35.5147101,137.8219519,April
True,3/30/1953,"Kofu, Japan",1/1/1953,35.6652481,138.5710441,March
True,3/25/1953,"Choshi, Japan",1/1/1953,35.7345338,140.8272667,March
True,4/1/1953,"Tsu, Japan",1/1/1953,34.7341973,136.5153283,April
False,4/1/1953,"Hamamatsu, Japan",1/1/1953,34.7109786,137.7259431,April
True,3/25/1953,"Shizuoka, Japan",1/1/1953,34.979149,138.38299,March
True,3/26/1953,"Tokyo, Japan",1/1/1953,35.6828387,139.7594549,March
False,3/22/1953,"Owase, Japan",1/1/1953,34.0707815,136.1911394,March
True,3/25/1953,"Yokohama, Japan",1/1/1953,35.444991,139.636768,March
False,,"Tateyama, Japan",1/1/1953,34.9965304,139.8699838,
False,4/5/1953,"Oshima, Japan",1/1/1953,34.737515,139.400251,April
False,,"Miyakejima, Japan",1/1/1953,34.085378,139.521277314,
False,3/27/1953,"Hachijojima, Japan",1/1/1953,33.1024935,139.807693928,March
False,4/6/1953,"Saigo, Japan",1/1/1953,32.8728923,130.2439633,April
True,4/2/1953,"Matsue, Japan",1/1/1953,35.468115,133.048768,April
False,,"Yonago, Japan",1/1/1953,35.4276408,133.331459,
True,4/3/1953,"Tottori, Japan",1/1/1953,35.3555075,133.8678525,April
False,4/5/1953,"Toyooka, Japan",1/1/1953,35.5446737,134.8201126,April
False,4/1/1953,"Maizuru, Japan",1/1/1953,35.4704853,135.34844,April
False,3/23/1953,"Hamada, Japan",1/1/1953,34.8991982,132.0799984,March
True,4/5/1953,"Kyoto, Japan",1/1/1953,35.021041,135.7556075,April
True,4/5/1953,"Hikone, Japan",1/1/1953,35.254276,136.215376,April
True,4/2/1953,"Hiroshima, Japan",1/1/1953,34.3916058,132.4518156,April
True,3/31/1953,"Okayama, Japan",1/1/1953,34.6553944,133.9194595,March
True,4/4/1953,"Kobe, Japan",1/1/1953,34.6932379,135.1943764,April
