"Country","Year","Avg"
"Brazil",1992,41487
"Brazil",1993,33444
"Brazil",1994,37592
"Brazil",1995,49320
"Brazil",1996,48163
"Brazil",1997,31320
"Brazil",1998,23136
"Brazil",1999,15922
"Brazil",2000,16953
"Brazil",2001,13934
"Brazil",2002,14513
"Brazil",2003,11520
"Brazil",2004,13061
"Brazil",2005,17201
"Brazil",2006,18135
"Brazil",2007,18853
"Brazil",2008,20981
"Brazil",2009,16899
"Brazil",2010,21393
"Brazil",2011,18470
"Brazil",2012,32111
"Brazil",2013,27105
"Brazil",2014,32310
"Brazil",2015,34017
"Brazil",2016,36888
"Brazil",2017,42207
"Brazil",2018,44201
"Brazil",2019,47575
"Brazil",2020,6888
"Brazil",2021,2687
"China",1990,105993
"China",1991,130487
"China",1992,183220
"China",1993,206743
"China",1994,193486
"China",1995,220715
"China",1996,241525
"China",1997,260627
"China",1998,267180
"China",1999,294937
"China",2000,351788
"China",2001,391384
"China",2002,452420
"China",2003,448782
"China",2004,616009
"China",2005,652820
"China",2006,811675
"China",2007,942439
"China",2008,1000416
"China",2009,1006085
"China",2010,1412875
"China",2011,1043246
"China",2012,1425100
"China",2013,1314437
"China",2014,2409158
"China",2015,4993689
"China",2016,6373564
"China",2017,7355818
"China",2018,8380034
"China",2019,9594394
"China",2020,1069256
"China",2021,40475
"South Korea",1990,740441
"South Korea",1991,861820
"South Korea",1992,864052
"South Korea",1993,845423
"South Korea",1994,918459
"South Korea",1995,873635
"South Korea",1996,994362
"South Korea",1997,1010571
"South Korea",1998,724445
"South Korea",1999,942674
"South Korea",2000,1064390
"South Korea",2001,1133971
"South Korea",2002,1271835
"South Korea",2003,1459333
"South Korea",2004,1588472
"South Korea",2005,1747171
"South Korea",2006,2117325
"South Korea",2007,2600694
"South Korea",2008,2382397
"South Korea",2009,1586772
"South Korea",2010,2439816
"South Korea",2011,1658073
"South Korea",2012,2042775
"South Korea",2013,2456165
"South Korea",2014,2755313
"South Korea",2015,4002095
"South Korea",2016,5090302
"South Korea",2017,7140438
"South Korea",2018,7538952
"South Korea",2019,5584597
"South Korea",2020,487939
"South Korea",2021,17883
"United States",1990,554753
"United States",1991,543075
"United States",1992,560940
"United States",1993,533401
"United States",1994,531352
"United States",1995,539899
"United States",1996,586836
"United States",1997,621737
"United States",1998,666700
"United States",1999,697630
"United States",2000,725954
"United States",2001,692192
"United States",2002,731900
"United States",2003,655821
"United States",2004,759753
"United States",2005,822033
"United States",2006,816727
"United States",2007,815882
"United States",2008,768345
"United States",2009,699919
"United States",2010,727234
"United States",2011,565887
"United States",2012,716709
"United States",2013,799280
"United States",2014,891668
"United States",2015,1033258
"United States",2016,1242719
"United States",2017,1374964
"United States",2018,1526407
"United States",2019,1723861
"United States",2020,219307
"United States",2021,19070
