location_id,name,rate,review_count,city,region,address,latitude,longitude,href
0,上野恩賜公園,45,5243,,,東京都上野公園,35.7156148,139.7741538,https://www.tripadvisor.jp/Attraction_Review-g14134278-d320441-Reviews-Ueno_Park-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
1,千鳥ヶ淵,45,1201,東京都,関東地方,"""北の丸公園1-1, 千代田区""",35.692364,139.7494726,https://www.tripadvisor.jp/Attraction_Review-g1066443-d1373705-Reviews-Chidorigafuchi-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
2,花見小路通,40,390,京都府,近畿地方,"""東山区, 京都市""",34.9923961,135.7757965,https://www.tripadvisor.jp/Attraction_Review-g298564-d1956593-Reviews-Hanamikoji_Street-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
3,新宿御苑,45,6156,東京都,関東地方,"""内藤町11, 新宿区""",35.6867332,139.7081702,https://www.tripadvisor.jp/Attraction_Review-g1066457-d479258-Reviews-Shinjuku_Gyoen_National_Garden-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
4,韻松亭,45,208,,,"""4-59, 東京都上野公園""",35.7154717,139.7740608,https://www.tripadvisor.jp/Restaurant_Review-g14134278-d1391764-Reviews-Innsyoutei-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
5,醍醐寺,45,648,京都府,近畿地方,"""伏見区醍醐伽藍町1, 京都市""",34.9514225,135.822616,https://www.tripadvisor.jp/Attraction_Review-g298564-d321455-Reviews-Daigo_ji_Temple-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
6,代々木公園,45,2319,東京都,関東地方,"""代々木神園町2-1 , 渋谷区""",35.6717823,139.6917847,https://www.tripadvisor.jp/Attraction_Review-g1066456-d561514-Reviews-Yoyogi_Park-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
7,十二段家 花見小路店 ,45,78,,,"""東山区祇園町南側570-128, 京都市""",35.0028127,135.7752965,https://www.tripadvisor.jp/Restaurant_Review-g298564-d3661952-Reviews-Junidanya_Hanamikoji-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
8,夙川公園,45,219,兵庫県,近畿地方,兵庫県西宮市,34.7376029,135.3415109,https://www.tripadvisor.jp/Attraction_Review-g1022819-d1384644-Reviews-Shukugawa_Park-Nishinomiya_Hyogo_Prefecture_Kinki.html#REVIEWS
9,建仁寺,45,998,京都府,近畿地方,"""東山区大和大路四条下ル小松町584, 京都市""",35.0004553,135.7736387,https://www.tripadvisor.jp/Attraction_Review-g298564-d1386175-Reviews-Kennin_ji_Temple-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
10,砧公園,45,336,東京都,関東地方,"""砧公園, 世田谷区""",35.6301013,139.6184342,https://www.tripadvisor.jp/Attraction_Review-g1066455-d1602616-Reviews-Kinuta_Park-Setagaya_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
11,円山公園,40,380,,,"""中央区宮ヶ丘, 札幌市""",43.0535087,141.3077944,https://www.tripadvisor.jp/Attraction_Review-g298560-d1384186-Reviews-Maruyama_Park-Sapporo_Hokkaido.html#REVIEWS
12,目黒川,45,587,東京都,関東地方,東京23区,35.6803997,139.7690174,https://www.tripadvisor.jp/Attraction_Review-g298184-d1425866-Reviews-Meguro_River-Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
13,井の頭恩賜公園,40,642,東京都,関東地方,東京都武蔵野市,35.7176916,139.5660882,https://www.tripadvisor.jp/Attraction_Review-g1060900-d315482-Reviews-Inokashira_Onshi_Park-Musashino_Tokyo_Prefecture_Kanto.html#REVIEWS
14,祇園歓楽街,45,7275,京都府,近畿地方,"""東山区, 京都市""",34.9923961,135.7757965,https://www.tripadvisor.jp/Attraction_Review-g298564-d321451-Reviews-Gion-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
15,恩田川,45,14,,,"""原町田3-8-1, 東京都町田市""",35.5421649,139.4513966,https://www.tripadvisor.jp/Restaurant_Review-g1060907-d10017416-Reviews-Ondagawa-Machida_Tokyo_Prefecture_Kanto.html#REVIEWS
16,大阪城公園,40,6924,大阪府,近畿地方,"""大阪城1, 中央区""",34.6865287,135.5264693,https://www.tripadvisor.jp/Attraction_Review-g14127623-d1407217-Reviews-Osaka_Castle_Park-Chuo_Osaka_Osaka_Prefecture_Kinki.html#REVIEWS
17,飛鳥山公園,40,263,東京都,関東地方,"""王子1-1-3, 東京都北区""",35.7496151,139.7389209,https://www.tripadvisor.jp/Attraction_Review-g1066448-d2423696-Reviews-Asukayama_Park-Kita_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
18,北九州市河内藤園 藤の花見,45,242,福岡県,九州・沖縄地方,"""八幡東区河内2-2-46, 北九州市""",33.8313336,130.7928558,https://www.tripadvisor.jp/Attraction_Review-g303160-d3749843-Reviews-Kitakyushu_City_Kawachi_Fuji_Garden_Wisterias_Blossom-Kitakyushu_Fukuoka_Prefectu.html#REVIEWS
19,お花見久兵衛,40,106,,,"""山中温泉下谷町ニ138-1 , 石川県加賀市""",36.2386283,136.3694481,https://www.tripadvisor.jp/Hotel_Review-g651648-d1074531-Reviews-Ohanami_Kyubei-Kaga_Ishikawa_Prefecture_Hokuriku_Chubu.html#REVIEWS
20,浜松城,35,549,東海地方,近畿地方,"""中区元城町100-2, 静岡県浜松市""",34.7132278,137.7262872,https://www.tripadvisor.jp/Attraction_Review-g303148-d1313765-Reviews-Hamamatsu_Castle-Hamamatsu_Shizuoka_Prefecture_Tokai_Chubu.html#REVIEWS
21,ぎおん 徳屋,45,102,,,"""東山区祇園町南側570-127, 京都市""",35.0024654,135.7752965,https://www.tripadvisor.jp/Restaurant_Review-g298564-d1667202-Reviews-Gion_Tokuya-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
22,舞鶴公園,40,343,福岡県,九州・沖縄地方,"""城内, 中央区""",33.5868971,130.3815658,https://www.tripadvisor.jp/Attraction_Review-g14127491-d325353-Reviews-Maizuru_Park-Chuo_Fukuoka_Fukuoka_Prefecture_Kyushu.html#REVIEWS
23,鶴舞公園,40,300,東海地方,近畿地方,"""昭和区鶴舞1, 名古屋市""",35.1546224,136.9204248,https://www.tripadvisor.jp/Attraction_Review-g298106-d1309834-Reviews-Tsuruma_Park-Nagoya_Aichi_Prefecture_Tokai_Chubu.html#REVIEWS
24,皇居東御苑（旧江戸城本丸跡）,40,2014,東京都,関東地方,"""千代田 1-1, 千代田区""",35.6863053,139.75823,https://www.tripadvisor.jp/Attraction_Review-g1066443-d320625-Reviews-The_East_Gardens_of_the_Imperial_Palace_Edo_Castle_Ruin-Chiyoda_Tokyo_Tokyo_Prefe.html#REVIEWS
25,造幣博物館,45,543,大阪府,近畿地方,"""北区天満1-1-79, 大阪市""",34.6965482,135.5210479,https://www.tripadvisor.jp/Attraction_Review-g298566-d1407249-Reviews-Mint_Museum-Osaka_Osaka_Prefecture_Kinki.html#REVIEWS
26,京都府立植物園,45,384,京都府,近畿地方,"""左京区下鴨半木町, 京都市""",35.0489103,135.7645385,https://www.tripadvisor.jp/Attraction_Review-g298564-d1798946-Reviews-Kyoto_Botanical_Garden-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS
27,さくらの山公園,45,313,千葉県,関東地方,"""駒井野1338-1, 千葉県成田市""",35.7771476,140.3632809,https://www.tripadvisor.jp/Attraction_Review-g298161-d1580227-Reviews-Sakura_no_yama_Park-Narita_Chiba_Prefecture_Kanto.html#REVIEWS
28,吉野山,45,292,奈良県,近畿地方,奈良県吉野町,34.396001,135.857574,https://www.tripadvisor.jp/Attraction_Review-g1121327-d1384139-Reviews-Mt_Yoshino-Yoshino_cho_Yoshino_gun_Nara_Prefecture_Kinki.html#REVIEWS
29,埼玉県営大宮公園,40,221,埼玉県,関東地方,"""大宮区高鼻町4, さいたま市""",35.9189126,139.6318202,https://www.tripadvisor.jp/Attraction_Review-g298180-d1397171-Reviews-Saitama_Prefecture_Omiya_Park-Saitama_Saitama_Prefecture_Kanto.html#REVIEWS
30,根岸森林公園,45,184,神奈川県,関東地方,"""中区根岸台, 横浜市""",35.4227238,139.6381955,https://www.tripadvisor.jp/Attraction_Review-g298173-d593036-Reviews-Yokohama_Negishi_Forest_Park-Yokohama_Kanagawa_Prefecture_Kanto.html#REVIEWS
31,神戸市立王子動物園,40,642,兵庫県,近畿地方,"""灘区王子町3-1, 神戸市""",34.7116062,135.2152073,https://www.tripadvisor.jp/Attraction_Review-g298562-d1424158-Reviews-Kobe_Oji_Zoo-Kobe_Hyogo_Prefecture_Kinki.html#REVIEWS
32,北海道神宮,40,1192,札幌市,北海道地方,"""中央区宮ヶ丘474, 札幌市""",43.0554242,141.3079548,https://www.tripadvisor.jp/Attraction_Review-g298560-d591381-Reviews-Hokkaido_Jingu-Sapporo_Hokkaido.html#REVIEWS
33,喜多院,40,329,埼玉県,関東地方,"""小仙波町1-20-1, 埼玉県川越市""",35.9172304,139.4895315,https://www.tripadvisor.jp/Attraction_Review-g298177-d1397090-Reviews-Kitain-Kawagoe_Saitama_Prefecture_Kanto.html#REVIEWS
34,錦糸公園,35,191,東京都,関東地方,"""錦糸4-15-1, 墨田区""",35.6995382,139.8172222,https://www.tripadvisor.jp/Attraction_Review-g1066459-d6551339-Reviews-Kinshi_Park-Sumida_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
35,権現堂桜堤,45,172,埼玉県,関東地方,"""内国府間, 埼玉県幸手市""",36.0909313,139.7211376,https://www.tripadvisor.jp/Attraction_Review-g1021406-d1722859-Reviews-Gongendo_Sakura_Tsutsumi-Satte_Saitama_Prefecture_Kanto.html#REVIEWS
36,新宿中央公園,40,447,東京都,関東地方,"""2-11, 東京都西新宿""",35.6913457,139.69369,https://www.tripadvisor.jp/Attraction_Review-g14133673-d1594916-Reviews-Shinjuku_Chuo_Park-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS
37,高遠城址公園,45,297,甲信越,中部地方,"""高遠町東高遠, 長野県伊那市""",35.8378337,138.0753917,https://www.tripadvisor.jp/Attraction_Review-g1021343-d552422-Reviews-Takato_Castle_Remains_Park-Ina_Nagano_Prefecture_Koshinetsu_Chubu.html#REVIEWS
