location_id,name,rate,review_count,city,region_jp,region_en,address,latitude,longitude,href,surrounding,attraction
14,祇園歓楽街,45,7275,京都府,近畿地方,Kinki,"""東山区, 京都市""",34.9923961,135.7757965,https://www.tripadvisor.jp/Attraction_Review-g298564-d321451-Reviews-Gion-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,city,shrine
87,二条城,45,6975,京都府,近畿地方,Kinki,"""中京区二条城町541, 京都市""",35.0151077,135.7477768,https://www.tripadvisor.jp/Attraction_Review-g298564-d321408-Reviews-Nijo_Castle-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,city,castle
16,大阪城公園,40,6924,大阪府,近畿地方,Kinki,"""大阪城1, 中央区""",34.6865287,135.5264693,https://www.tripadvisor.jp/Attraction_Review-g14127623-d1407217-Reviews-Osaka_Castle_Park-Chuo_Osaka_Osaka_Prefecture_Kinki.html#REVIEWS,city,castle
3,新宿御苑,45,6156,東京都,関東地方,Kanto,"""内藤町11, 新宿区""",35.6867332,139.7081702,https://www.tripadvisor.jp/Attraction_Review-g1066457-d479258-Reviews-Shinjuku_Gyoen_National_Garden-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,garden
0,上野恩賜公園,45,5243,東京都,関東地方,Kanto,東京都上野公園,35.7156148,139.7741538,https://www.tripadvisor.jp/Attraction_Review-g14134278-d320441-Reviews-Ueno_Park-Uenokoen_Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
78,松本城,45,3591,長野県,中部地方,Chubo,"""丸の内4-1, 長野県松本市""",36.2382162,137.9701317,https://www.tripadvisor.jp/Attraction_Review-g298118-d320181-Reviews-Matsumoto_Castle-Matsumoto_Nagano_Prefecture_Koshinetsu_Chubu.html#REVIEWS,country,castle
45,哲学の道,40,3186,京都府,近畿地方,Kinki,"""左京区, 京都市""",35.1630759,135.8089934,https://www.tripadvisor.jp/Attraction_Review-g298564-d545965-Reviews-Philosopher_s_Walk-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,city,shrine
69,皇居,40,2776,東京都,関東地方,Kanto,"""千代田 1-1, 千代田区""",35.6863053,139.75823,https://www.tripadvisor.jp/Attraction_Review-g1066443-d320050-Reviews-Imperial_Palace-Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,castle
118,京都御所,40,2428,京都府,近畿地方,Kinki,"""上京区京都御苑 3, 京都市""",35.0177595,135.7617429,https://www.tripadvisor.jp/Attraction_Review-g298564-d321088-Reviews-Kyoto_Imperial_Palace-Kyoto_Kyoto_Prefecture_Kinki.html#REVIEWS,city,garden
6,代々木公園,45,2319,東京都,関東地方,Kanto,"""代々木神園町2-1 , 渋谷区""",35.6717823,139.6917847,https://www.tripadvisor.jp/Attraction_Review-g1066456-d561514-Reviews-Yoyogi_Park-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,city,shrine
